FilterTyp,FilterWert
Projektbetrieb,Projektgeschäft
Projektbetrieb,Betrieb
Geschäftsvorfall,1
Geschäftsvorfall,2
Geschäftsvorfall,3
Geschäftsvorfall,4
Geschäftsvorfall,5
Geschäftsvorfall,6
Geschäftsvorfall,7
